date,geography,geography code,Age: Total,Age: Aged 4 years and under,Age: Aged 5 to 9 years,Age: Aged 10 to 14 years,Age: Aged 15 to 19 years,Age: Aged 20 to 24 years,Age: Aged 25 to 29 years,Age: Aged 30 to 34 years,Age: Aged 35 to 39 years,Age: Aged 40 to 44 years,Age: Aged 45 to 49 years,Age: Aged 50 to 54 years,Age: Aged 55 to 59 years,Age: Aged 60 to 64 years,Age: Aged 65 to 69 years,Age: Aged 70 to 74 years,Age: Aged 75 to 79 years,Age: Aged 80 to 84 years,Age: Aged 85 years and over
2021,Hartlepool,E06000001,92337,4982,5582,5920,5180,5110,5495,5884,5463,5065,5417,6577,7132,6297,5247,5084,3222,2463,2217
2021,Middlesbrough,E06000002,143926,8928,9795,9465,8571,10171,10322,10320,9377,8042,7930,8736,9369,8720,7208,6464,4300,3236,2972
2021,Redcar and Cleveland,E06000003,136533,6814,7874,7993,7124,6575,7461,7909,7604,7251,7949,10012,10656,9564,8497,8675,6341,4479,3755
2021,Stockton-on-Tees,E06000004,196595,10733,12429,13021,10617,9689,11918,13135,13052,11966,12175,13932,14010,12734,10793,10253,6872,4954,4312
2021,Darlington,E06000005,107801,5496,6330,6626,5785,5426,6379,6968,6562,6642,6918,7770,7855,7004,5958,5980,4149,3121,2832
2021,Halton,E06000006,128479,6954,7894,8061,7152,6704,7963,8515,8541,7992,8328,9086,9145,8184,7254,7104,4294,2867,2441
2021,Warrington,E06000007,210977,10631,12363,12819,11130,10502,12510,13929,14201,13655,14319,16074,15881,12804,10719,10723,8206,5808,4703
2021,Blackburn with Darwen,E06000008,154738,10056,11162,11733,10857,9451,10063,10643,10792,10022,9887,10303,9360,8006,6680,6203,4086,2848,2586
2021,Blackpool,E06000009,141036,7360,7905,7864,7390,7446,8572,9499,8523,7718,8618,10539,10993,9418,7674,7867,5821,4140,3689
2021,"Kingston upon Hull, City of",E06000010,267013,15954,17343,16735,15484,19426,20220,20818,18707,15802,16304,17253,17217,14926,12220,11382,7095,5233,4894
2021,East Riding of Yorkshire,E06000011,342215,14687,17369,18398,16782,14437,16830,18010,18027,18003,21530,25589,27138,24920,23083,25349,17942,12658,11463
2021,North East Lincolnshire,E06000012,156966,8455,9516,9572,8404,7968,9316,10411,9516,8416,9458,11077,11803,10218,8749,8856,6222,4660,4349
2021,North Lincolnshire,E06000013,169681,8445,9648,10116,8901,8123,9682,10627,10287,9282,10378,12515,12989,11410,10025,10226,7297,5006,4724
2021,York,E06000014,202821,8615,9902,10321,15216,20355,12971,12874,12552,11872,11932,13260,12962,11256,9783,10482,7465,5522,5481
2021,Derby,E06000015,261363,15220,16899,16978,16350,18528,18430,18304,18232,16494,16417,17240,16150,13336,11313,11122,8123,6138,6089
2021,Leicester,E06000016,368571,22302,24808,25622,28332,36112,27286,27498,27245,24690,22538,21893,19473,17271,13975,11290,7324,5520,5392
2021,Rutland,E06000017,41047,1642,1972,2540,2761,1850,2136,2184,2213,2344,2452,2965,2904,2700,2497,2835,2129,1469,1454
2021,Nottingham,E06000018,323631,17819,19249,18808,31692,43635,24275,24213,21188,18369,17600,17860,17031,13927,10884,9801,6864,5115,5301
2021,"Herefordshire, County of",E06000019,187033,8429,9508,10090,9064,8175,9652,10534,10254,9807,11226,13619,14580,13623,12481,13014,9735,6696,6546
2021,Telford and Wrekin,E06000020,185542,10562,11869,12142,10893,10971,11809,12721,12107,11203,12081,13476,12600,10390,9209,9104,6538,4288,3579
2021,Stoke-on-Trent,E06000021,258369,15625,16989,16831,15115,16947,17144,19079,17615,15470,15616,16938,16340,14396,12332,11923,8676,6002,5331
2021,Bath and North East Somerset,E06000022,193408,9019,10046,10647,14772,18549,11461,11715,10893,10781,11731,12708,12754,10810,9421,9846,7385,5338,5532
2021,"Bristol, City of",E06000023,472468,25942,26764,25574,29621,47538,44399,43857,37767,31241,27070,26354,25043,20538,16891,15979,11315,8166,8409
2021,North Somerset,E06000024,216730,10662,12250,12827,10834,9784,10795,12330,13074,13410,14128,15490,15773,13501,12528,13947,10752,7289,7356
2021,South Gloucestershire,E06000025,290424,16119,17128,16727,16199,18099,19420,20465,19682,18070,18060,20311,19862,16088,13509,14059,11333,7756,7537
2021,Plymouth,E06000026,264695,13205,15124,15035,15919,21172,17938,18395,17369,15577,15774,17618,17316,15283,12891,13169,9734,6692,6484
2021,Torbay,E06000027,139324,6059,7312,7501,6724,6214,7129,7611,7315,7220,8203,10271,10706,9872,9204,10021,7554,5134,5274
2021,Swindon,E06000030,233411,13626,15156,14764,12283,12028,15286,17351,17318,16278,16356,16782,16011,13103,10559,9838,6981,4874,4817
2021,Peterborough,E06000031,215674,14163,15730,15502,12541,11679,15326,17299,17249,15292,13850,13700,12351,10403,8625,8118,5686,4105,4055
2021,Luton,E06000032,225261,15960,16731,16744,15072,15583,16515,17856,17663,16513,14090,13828,12381,9959,7773,6383,4769,3836,3605
2021,Southend-on-Sea,E06000033,180686,10242,10899,11154,9182,9356,11223,11935,12195,12163,12323,12538,12496,10419,8816,9207,6842,4718,4978
2021,Thurrock,E06000034,176001,12261,12664,12401,10458,9529,11795,14103,13849,12475,11648,11832,10759,8373,6712,6821,4413,3072,2836
2021,Medway,E06000035,279776,17308,18336,18020,16227,15937,18341,20368,19477,18466,17654,19146,18774,15665,12928,13007,8934,6025,5163
2021,Bracknell Forest,E06000036,124607,7119,7859,8081,7071,6377,8200,9314,9400,9155,8801,9049,8361,6945,5527,5027,3536,2413,2372
2021,West Berkshire,E06000037,161447,8310,9701,10644,9141,7356,8686,9632,10067,10534,11549,12596,11749,9970,8470,8583,6314,4171,3974
2021,Reading,E06000038,174224,10238,10486,10247,10986,14690,14572,15640,14592,12818,11313,10741,9493,7430,5844,5302,4006,2931,2895
2021,Slough,E06000039,158500,11772,12690,12823,9919,8949,10656,12853,14492,13753,11089,9603,7944,6637,5118,3822,2492,1979,1909
2021,Windsor and Maidenhead,E06000040,153498,8021,9226,10486,8981,6767,7981,9306,10390,11230,11456,11709,10796,8828,7198,7319,5547,4025,4232
2021,Wokingham,E06000041,177498,9852,12189,12463,10096,8239,9449,10676,12472,13862,13336,12600,11923,9794,7811,8052,6090,4269,4325
2021,Milton Keynes,E06000042,287061,17733,20264,20615,16353,14990,19041,22003,23020,22402,20178,19300,17087,14489,12226,11176,7247,4648,4289
2021,Brighton and Hove,E06000043,277103,11751,13051,14179,17763,27920,20960,20510,19453,19255,20378,20891,18385,13631,10915,10272,7113,5129,5547
2021,Portsmouth,E06000044,208003,11280,12127,11655,14494,20042,15368,15957,14909,12553,12159,13346,12803,10520,8343,8204,5883,4136,4224
2021,Southampton,E06000045,248921,13796,14453,13835,16752,26139,20718,20165,18333,16404,14607,14008,13776,11686,9615,8994,6639,4428,4573
2021,Isle of Wight,E06000046,140459,5552,6863,7049,6390,5960,6695,7222,6882,7013,7901,10263,11114,10536,10450,11233,8662,5356,5318
2021,County Durham,E06000047,522071,24752,28357,29501,31231,33054,29206,30679,30620,29185,31631,37933,39456,35128,31040,30716,21730,15059,12793
2021,Cheshire East,E06000049,398776,19930,22095,22881,19700,17620,21741,24345,24534,23873,26433,30278,30470,25649,22335,24352,18033,12443,12064
2021,Cheshire West and Chester,E06000050,357149,17618,19846,20355,18728,19681,21236,22467,22351,20863,22935,26045,26572,22705,19824,20557,14978,10661,9727
2021,Shropshire,E06000051,323607,14422,16249,17247,16916,15125,16870,17952,17263,16685,19977,24309,25538,22966,20817,21948,17012,11486,10825
2021,Cornwall,E06000052,570302,25532,30256,31215,29259,28610,28490,31508,30908,31328,34762,40713,43104,40481,37388,40401,29440,18767,18140
2021,Isles of Scilly,E06000053,2055,96,107,105,43,81,109,107,132,139,106,156,170,124,123,154,127,96,80
2021,Wiltshire,E06000054,510333,25629,29544,30312,27336,24238,28557,30966,30580,29589,33420,37589,37991,33055,28789,29911,22406,15274,15147
2021,Bedford,E06000055,185231,11163,11742,11975,10319,9999,11884,13550,13312,12954,12267,13035,12036,9971,8379,8337,5867,4170,4271
2021,Central Bedfordshire,E06000056,294251,17805,18521,17858,14778,13986,17957,21202,20772,19509,19365,21072,20963,17516,14413,14691,10579,6961,6303
2021,Northumberland,E06000057,320568,14235,16686,17410,15678,13905,15927,16936,17408,17417,19670,23213,25775,24758,22585,22975,15812,10593,9585
2021,"Bournemouth, Christchurch and Poole",E06000058,400198,18878,21212,21342,22257,26928,23844,26161,26224,25414,24724,26856,26526,23406,20818,22596,17095,12204,13713
2021,Dorset,E06000059,379579,15024,18162,20335,19141,15299,16754,18330,18327,18792,21659,26915,29764,28801,27017,30417,22891,15737,16214
2021,Buckinghamshire,E06000060,553078,30888,35155,36807,30807,25646,30240,34166,36379,38209,38481,40665,39261,32662,26839,27061,20389,14691,14732
2021,North Northamptonshire,E06000061,359525,20206,22459,23236,19761,17787,22365,24865,24375,23328,23942,26461,24910,20473,18016,18393,13071,8256,7621
2021,West Northamptonshire,E06000062,425725,23965,26379,26866,23844,24155,27343,30790,29730,28518,28796,30242,28893,23528,19761,20499,14344,9286,8786
2021,Cambridge,E07000008,145676,6347,6702,6645,11529,20309,16272,13548,10509,9142,8008,7794,6922,5335,4557,4140,3116,2371,2430
